case_id,year,city,state
851,2015,SANTA CLARA, CALIFORNIA
852,2015,MOUNTAIN VIEW, CALIFORNIA
853,2015,BOSTON, MASSACHUSETTS
854,2015,REDWOOD CITY, CALIFORNIA
855,2015,NEW YORK, NEW YORK
856,2015,RENO, NEVADA
857,2015,COLUMBUS, OHIO
858,2015,BINGHAM FARMS, MICHIGAN
859,2015,LA JOLLA, CALIFORNIA
860,2015,COLUMBUS, INDIANA
861,2015,BLOOMINGTON, ILLINOIS
862,2015,FRANKLIN, TENNESSEE
863,2015,SANTA CLARA, CALIFORNIA
864,2015,OAKLAND, CALIFORNIA
865,2015,BELLEVUE, WASHINGTON
866,2015,FREEPORT, TEXAS
867,2015,RICHMOND HEIGHTS, MISSOURI
868,2015,AUSTIN, TEXAS
869,2015,BINGHAMTON, NEW YORK
870,2015,CARMEL, INDIANA
871,2015,REDMOND, WASHINGTON
872,2015,ELKVIEW, WEST VIRGINIA
873,2015,REDMOND, WASHINGTON
874,2015,PALO ALTO, CALIFORNIA
875,2015,PALO ALTO, CALIFORNIA
876,2015,HOUSTON, TEXAS
877,2015,REDMOND, WASHINGTON
878,2015,PORTLAND, OREGON
879,2015,MIAMI, FLORIDA
880,2015,HOBOKEN, NEW JERSEY
881,2015,PALO ALTO, CALIFORNIA
882,2015,GAINESVILLE, FLORIDA
883,2015,THOMASVILLE, GEORGIA
884,2015,NORTH KANSAS CITY, MISSOURI
885,2015,MEMPHIS, TENNESSEE
886,2015,SAN DIEGO, CALIFORNIA
887,2015,ALLENTOWN, PENNSYLVANIA
888,2015,BOULDER, COLORADO
889,2015,NEW YORK, NEW YORK
890,2015,REDMOND, WASHINGTON
891,2015,NEW YORK, NEW YORK
892,2015,NEW YORK, NEW YORK
893,2015,LINCOLN, NEBRASKA
894,2015,PALO ALTO, CALIFORNIA
895,2015,IRVINE, CALIFORNIA
896,2015,URBANDALE, IOWA
897,2015,GAINESVILLE, FLORIDA
898,2015,DALLAS, TEXAS
899,2015,BOSTON, MASSACHUSETTS
900,2015,STAMFORD, CONNECTICUT
901,2015,SAN RAMON, CALIFORNIA
902,2015,COLUMBUS, INDIANA
903,2015,BALTIMORE, MARYLAND
904,2015,SAN JOSE, CALIFORNIA
905,2015,FARGO, NORTH DAKOTA
906,2015,NEW YORK, NEW YORK
907,2015,COPPELL, TEXAS
908,2015,SAN MATEO, CALIFORNIA
909,2015,TEANECK, NEW JERSEY
910,2015,NOVI, MICHIGAN
911,2015,NEW YORK, NEW YORK
912,2015,BOTHELL, WASHINGTON
913,2015,SAN MATEO, CALIFORNIA
914,2015,SEATTLE, WASHINGTON
915,2015,BOSTON, MASSACHUSETTS
916,2015,FORT WAYNE, INDIANA
917,2015,DULLES, VIRGINIA
918,2015,PLANO, TEXAS
919,2015,NEW YORK, NEW YORK
920,2015,HERNDON, VIRGINIA
921,2015,GOLDEN, COLORADO
